Node_import,Zone_demand,Unit,Transport_eu_mode,Transport_eu_distance
ITA_PIPE0001,ITA_DEM01,[1000km],Pip,0.57253965
ITA_PIPE0001,POL_DEM01,[1000km],Pip,1.693543708
HUN_PIPE0001,LVA_DEM01,[1000km],Pip,0.977030313
HUN_PIPE0001,LTU_DEM01,[1000km],Pip,0.799637175
HUN_PIPE0001,ROU_DEM01,[1000km],Pip,0.320698177
HUN_PIPE0001,ESP_DEM01,[1000km],Pip,2.237406008
HUN_PIPE0001,SWE_DEM01,[1000km],Pip,1.663576477
HUN_PIPE0001,BGR_DEM01,[1000km],Pip,0.639977621
HUN_PIPE0001,EST_DEM01,[1000km],Pip,1.182440579
HUN_PIPE0001,FIN_DEM01,[1000km],Pip,1.828994382
ITA_PIPE0001,MLT_DEM01,[1000km],Pip,0.255849905
ITA_PIPE0001,CYP_DEM01,[1000km],Pip,1.869876925
ITA_PIPE0001,GRC_DEM01,[1000km],Pip,0.91859021
ITA_PIPE0001,FRA_DEM01,[1000km],Pip,1.289963906
HUN_PIPE0001,ESP_DEM01,[1000km],Pip,3.943775526
ITA_PIPE0001,PRT_DEM01,[1000km],Pip,1.850875597
