Year,Country,Country_demand,Node_border,Node_import,Node_export,Node_production,Source,Source_vres,Energy_type,Technology,Transport_national,Transport_international,Transport_eu,Transport_national_mode,Transport_international_mode,Transport_eu_mode,Transport_conversion
,,,,,PAN_PORT0006,,,,,,,,,,,,
,,,,,PAN_PORT0007,,,,,,,,,,,,
,,,,,PAN_PORT0008,,,,,,,,,,,,
,,,,,PLW_PORT0001,,,,,,,,,,,,
,,,,,PAK_PORT0001,,,,,,,,,,,,
,,,,,PAK_PORT0002,,,,,,,,,,,,
,,,,,OMN_PORT0001,,,,,,,,,,,,
,,,,,OMN_PORT0002,,,,,,,,,,,,
,,,,,NGA_PORT0001,,,,,,,,,,,,
,,,,,NGA_PORT0002,,,,,,,,,,,,
,,,,,NGA_PORT0003,,,,,,,,,,,,
,,,,,NGA_PORT0004,,,,,,,,,,,,
,,,,,NGA_PORT0005,,,,,,,,,,,,
,,,,,NGA_PORT0006,,,,,,,,,,,,
,,,,,NIC_PORT0001,,,,,,,,,,,,
,,,,,NIC_PORT0002,,,,,,,,,,,,
,,,,,NZL_PORT0001,,,,,,,,,,,,
,,,,,NZL_PORT0002,,,,,,,,,,,,
,,,,,NZL_PORT0003,,,,,,,,,,,,
,,,,,NZL_PORT0004,,,,,,,,,,,,
,,,,,NZL_PORT0005,,,,,,,,,,,,
,,,,,NZL_PORT0006,,,,,,,,,,,,
,,,,,NZL_PORT0007,,,,,,,,,,,,
,,,,,NZL_PORT0008,,,,,,,,,,,,
,,,,,NZL_PORT0009,,,,,,,,,,,,
,,,,,NZL_PORT0010,,,,,,,,,,,,
,,,,,NCL_PORT0001,,,,,,,,,,,,
,,,,,NCL_PORT0002,,,,,,,,,,,,
,,,,,NRU_PORT0001,,,,,,,,,,,,
,,,,,NAM_PORT0001,,,,,,,,,,,,
,,,,,NAM_PORT0002,,,,,,,,,,,,
,,,,,MMR_PORT0001,,,,,,,,,,,,
,,,,,MMR_PORT0002,,,,,,,,,,,,
,,,,,MMR_PORT0003,,,,,,,,,,,,
,,,,,MMR_PORT0004,,,,,,,,,,,,
,,,,,MOZ_PORT0001,,,,,,,,,,,,
,,,,,MOZ_PORT0002,,,,,,,,,,,,
,,,,,MOZ_PORT0003,,,,,,,,,,,,
,,,,,MOZ_PORT0004,,,,,,,,,,,,
,,,,,MAR_PORT0001,,,,,,,,,,,,
,,,,,MAR_PORT0002,,,,,,,,,,,,
,,,,,MAR_PORT0003,,,,,,,,,,,,
,,,,,MAR_PORT0004,,,,,,,,,,,,
,,,,,MSR_PORT0001,,,,,,,,,,,,
,,,,,MNE_PORT0001,,,,,,,,,,,,
,,,,,MDA_PORT0001,,,,,,,,,,,,
,,,,,MEX_PORT0001,,,,,,,,,,,,
,,,,,MEX_PORT0002,,,,,,,,,,,,
,,,,,MEX_PORT0003,,,,,,,,,,,,
,,,,,MEX_PORT0004,,,,,,,,,,,,
,,,,,MEX_PORT0005,,,,,,,,,,,,
,,,,,MEX_PORT0006,,,,,,,,,,,,
,,,,,MEX_PORT0007,,,,,,,,,,,,
,,,,,MEX_PORT0008,,,,,,,,,,,,
,,,,,MEX_PORT0009,,,,,,,,,,,,
,,,,,MEX_PORT0010,,,,,,,,,,,,
,,,,,MEX_PORT0011,,,,,,,,,,,,
,,,,,MEX_PORT0012,,,,,,,,,,,,
,,,,,MEX_PORT0013,,,,,,,,,,,,
,,,,,MYT_PORT0001,,,,,,,,,,,,
,,,,,MUS_PORT0001,,,,,,,,,,,,
,,,,,MUS_PORT0002,,,,,,,,,,,,
,,,,,MRT_PORT0001,,,,,,,,,,,,
,,,,,MRT_PORT0002,,,,,,,,,,,,
,,,,,MTQ_PORT0001,,,,,,,,,,,,
,,,,,MHL_PORT0001,,,,,,,,,,,,
,,,,,MHL_PORT0002,,,,,,,,,,,,
,,,,,MDV_PORT0001,,,,,,,,,,,,
,,,,,MYS_PORT0001,,,,,,,,,,,,
,,,,,MYS_PORT0002,,,,,,,,,,,,
